variant,encoder_seed,probe_seed,learning_rate,best_epoch,validation_micro_pck_at_0.1,validation_mean_normalized_error,selected,scientific_result
ibkd_lambda_0.25,3,1,0.1,36,0.18020658849804577,0.3097558319568634,False,True
ibkd_lambda_0.25,3,2,0.01,45,0.18132328308207704,0.31056684255599976,False,True
ibkd_lambda_0.25,3,2,0.03,47,0.18118369625907316,0.31051403284072876,False,True
ibkd_lambda_0.25,3,2,0.1,15,0.1823003908431044,0.31190845370292664,True,True
ibkd_lambda_0.25,3,3,0.01,31,0.1788107202680067,0.31315016746520996,False,True
ibkd_lambda_0.25,3,3,0.03,27,0.18090452261306533,0.3116416335105896,False,True
ibkd_lambda_0.25,3,3,0.1,27,0.1836962590731435,0.3115267753601074,True,True
ibkd_lambda_0.25,3,4,0.01,87,0.17964824120603015,0.3104622960090637,False,True
ibkd_lambda_0.25,3,4,0.03,49,0.1800670016750419,0.3110355734825134,False,True
ibkd_lambda_0.25,3,4,0.1,22,0.18076493579006142,0.3137667179107666,True,True
ibkd_lambda_0.25,3,5,0.01,38,0.17964824120603015,0.31296491622924805,False,True
ibkd_lambda_0.25,3,5,0.03,51,0.1804857621440536,0.3126813769340515,False,True
ibkd_lambda_0.25,3,5,0.1,52,0.18146286990508095,0.31008487939834595,True,True
ibkd_lambda_0.5,3,1,0.01,70,0.1390284757118928,0.3479040563106537,False,True
ibkd_lambda_0.5,3,1,0.03,62,0.14014517029592408,0.34488925337791443,False,True
ibkd_lambda_0.5,3,1,0.1,33,0.14307649357900615,0.3471665382385254,True,True
ibkd_lambda_0.5,3,2,0.01,48,0.1358179787828029,0.3496478497982025,False,True
ibkd_lambda_0.5,3,2,0.03,65,0.13958682300390843,0.3458918333053589,False,True
ibkd_lambda_0.5,3,2,0.1,43,0.14014517029592408,0.3446129858493805,True,True
ibkd_lambda_0.5,3,3,0.01,39,0.13833054159687325,0.34951335191726685,False,True
ibkd_lambda_0.5,3,3,0.03,73,0.14014517029592408,0.34428220987319946,False,True
ibkd_lambda_0.5,3,3,0.1,32,0.14140145170295923,0.34921082854270935,True,True
ibkd_lambda_0.5,3,4,0.01,69,0.1388888888888889,0.34839317202568054,False,True
ibkd_lambda_0.5,3,4,0.03,44,0.13972640982691234,0.3465399742126465,True,True
ibkd_lambda_0.5,3,4,0.1,53,0.13972640982691234,0.344868540763855,False,True
ibkd_lambda_0.5,3,5,0.01,76,0.13819095477386933,0.34606772661209106,False,True
ibkd_lambda_0.5,3,5,0.03,58,0.14056393076493578,0.3466019928455353,False,True
ibkd_lambda_0.5,3,5,0.1,52,0.1408431044109436,0.34886080026626587,True,True
