variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
kd,kd,,2,2,0.03,81,0.6715831598522534,0.7245321306852377,0.6799075486673603,0.7340015248400248,0.6600760787907245,0.8079269708893251,0.7952359379475599,0.8601044026527894,1,True
kd,kd,,2,3,0.03,87,0.6716457954342507,0.7252749411750844,0.6808753968705354,0.7343195633857678,0.6621634331228803,0.8064756936486552,0.7967488875372557,0.8596948220144994,1,True
kd,kd,,2,4,0.03,77,0.6711781054039504,0.7242928864073371,0.6809559140467861,0.7344272405721342,0.6634078811838638,0.8054465999604044,0.797649077761625,0.8593714555149505,1,True
kd,kd,,2,5,0.01,66,0.6716482166686941,0.7246597371836596,0.6796547066855034,0.7337425330249423,0.6596002256686629,0.8078848403812218,0.7948904988885575,0.8600014981107795,1,True
kd,kd,,3,1,0.03,80,0.657855184708886,0.7125556829835684,0.6661256377891318,0.7207161135241111,0.6458844904815049,0.7955477365667173,0.7848478969414807,0.8510808832115506,1,True
kd,kd,,3,2,0.01,68,0.6587505037983754,0.7126407390122841,0.6678620746176331,0.7211190056225225,0.645940889236417,0.7962971220086281,0.7848895345641255,0.8514887793267649,1,True
kd,kd,,3,3,0.01,71,0.6587636094394337,0.7131405937231248,0.6668769272954052,0.7208332636419507,0.6451380671338127,0.7965284601500886,0.7842965645525218,0.85147094939318,1,True
kd,kd,,3,4,0.03,90,0.6584408079429127,0.7130420157531724,0.6686079383976984,0.7224431562611981,0.6492144017656291,0.7956719107567674,0.7873013976479807,0.8517383798176548,1,True
kd,kd,,3,5,0.01,71,0.6578578570347847,0.7118245483993162,0.6681743598315306,0.7219624201420156,0.6477184745333203,0.7962063657507108,0.7862004153552653,0.851754413752372,1,True
lg,lg,,1,1,0.1,77,0.7808531991283811,0.8313671775960423,0.7844136700839202,0.8384520093160283,0.7905854020920202,0.8863186165400363,0.883046852910053,0.9204564611632121,1,True
lg,lg,,1,2,0.03,73,0.7811818374230449,0.832283728969847,0.7852729665652505,0.8390992614068757,0.7917262564021573,0.886472266411594,0.8837580557556471,0.9206965614394027,1,True
lg,lg,,1,3,0.03,69,0.7814896388771421,0.8320985021822794,0.7852624759410176,0.8393744675155457,0.7924094374689403,0.886339497562151,0.8841835139943259,0.9207312118313469,1,True
lg,lg,,1,4,0.03,83,0.7809159854848459,0.8319117943285665,0.7859471812640233,0.8398916107180769,0.793217916429051,0.8865653050071028,0.8846865840027255,0.9209589506808492,1,True
lg,lg,,1,5,0.1,79,0.7823430449762983,0.833213738480479,0.7848758393661206,0.8385945185665422,0.7915857408335395,0.8856032962995448,0.883670507966035,0.9202529373329237,1,True
lg,lg,,2,1,0.1,74,0.7839889250551634,0.8342468979354888,0.7848350319362833,0.8377999688006282,0.7905752699250466,0.8850246676762099,0.8830405325079018,0.9198236316725886,1,True
lg,lg,,2,2,0.1,65,0.7851282684709842,0.8349687180012035,0.7847975627279729,0.8371080403980953,0.789983068156705,0.8842330126394856,0.8826709952851303,0.9193519899837762,1,True
lg,lg,,2,3,0.03,77,0.7836205808703602,0.8341362669383191,0.7856062659131754,0.8386213376510623,0.7905601762213484,0.8866824990807761,0.883031116987849,0.9206311623082264,1,True
lg,lg,,2,4,0.1,83,0.7841031224546753,0.8344785990744314,0.7854691935424182,0.8381512713509228,0.7912759778516097,0.8850265648502359,0.8834774625857897,0.9199274651795301,1,True
lg,lg,,2,5,0.03,56,0.7848832916858596,0.8348647185917584,0.7852275138364417,0.8380736061844205,0.7903369960253853,0.8858102163434557,0.8828918776520429,0.9201718510806045,1,True
lg,lg,,3,1,0.03,76,0.783970894559691,0.8351360068499081,0.7855215396741169,0.8390141672446598,0.7924470255189072,0.8855813089704124,0.8842069129373533,0.9203687111357844,1,True
lg,lg,,3,2,0.03,64,0.7837946020446421,0.8345625078161197,0.7845435366030291,0.8377557730540395,0.790706219482867,0.8848053266252118,0.8831222127672208,0.9197362841966313,1,True
lg,lg,,3,3,0.01,38,0.7836819578651468,0.8350367247919442,0.7847000680439356,0.8385371689241186,0.7917841963141998,0.8852901415340372,0.8837941510400016,0.9201300662379865,1,True
lg,lg,,3,4,0.03,83,0.7838498056438705,0.8349396924801974,0.7854608943551814,0.8392256900434748,0.7922711492391806,0.886180230847769,0.8840974197185507,0.9206335838101478,1,True
lg,lg,,3,5,0.1,79,0.783755792862453,0.8355569027423021,0.7840540739107904,0.8379116651254812,0.7896233675666346,0.8861999626843279,0.8824464207128586,0.9202597807079189,1,True
alg,alg,,1,1,0.01,16,0.7502367703079695,0.8027138138926107,0.7538259952143034,0.8085223332201732,0.7538947970093581,0.8631498694309883,0.8596807497175506,0.9035732543192921,1,True
alg,alg,,1,2,0.03,81,0.7504526385312349,0.8031448168826465,0.754289145318647,0.809792586942092,0.7546884713250808,0.8648967025591032,0.8601965347788099,0.9045636981499384,1,True
alg,alg,,1,3,0.01,36,0.7511814994974646,0.8033536973929782,0.7539608931170185,0.808994464453799,0.7546647863433704,0.8633241425642276,0.860181149376175,0.9037780291556883,1,True
