variant,method,fusion_ratio_lambda,controller_warmup_epochs,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,encoder_checkpoint_path,encoder_checkpoint_sha256,probe_checkpoint_path,probe_checkpoint_sha256,official_test_evaluations,scientific_result
ibkd_lambda_0.25,ibkd,0.25,20,2,1,0.1,92,0.7891395668347134,0.7720544754386556,0.7951427768958942,0.7776173791073406,0.6318458788685681,0.923388879346113,0.7743940614130241,0.9322914751878703,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed2/student_best_validation.pt,b897485b7d4162622f5fa4dc9a83c41d16120a1d939a92aa9a9d08f7ea843500,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed2/probe_seed1_best_validation.pt,ede1cf37c4afd56e7953a26b6a8879d3256d44480bf16c1e5f7f2c235153c53a,1,True
ibkd_lambda_0.25,ibkd,0.25,20,2,2,0.1,83,0.789105225742128,0.775100502511389,0.7946859987068648,0.7796379917599862,0.6372625255068127,0.9220134580131596,0.7784488016783366,0.9314107300534772,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed2/student_best_validation.pt,b897485b7d4162622f5fa4dc9a83c41d16120a1d939a92aa9a9d08f7ea843500,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed2/probe_seed2_best_validation.pt,abd0f14f52b973ca9cd1f7efa896aae7f83f8b21550a6198978f8edc90c85db9,1,True
ibkd_lambda_0.25,ibkd,0.25,20,2,3,0.03,78,0.7887319583601198,0.7727455347176186,0.7946583265813603,0.7775566782730027,0.6319954013359849,0.9231179552100205,0.7745063507147392,0.932085035820615,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed2/student_best_validation.pt,b897485b7d4162622f5fa4dc9a83c41d16120a1d939a92aa9a9d08f7ea843500,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed2/probe_seed3_best_validation.pt,4fd9c692b811931bfbb8bfd7a2b69f2e584fce219ae19e935f210e080b6fce4e,1,True
ibkd_lambda_0.25,ibkd,0.25,20,2,4,0.03,74,0.7894866082617038,0.773729314851789,0.7940879615114433,0.778723887835417,0.6352938168760811,0.9221539587947528,0.7769781923222696,0.9314495750243919,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed2/student_best_validation.pt,b897485b7d4162622f5fa4dc9a83c41d16120a1d939a92aa9a9d08f7ea843500,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed2/probe_seed4_best_validation.pt,7295fdc2da205179ebee15383d0828b30c9e87a0aff3e80eb3f7bc0d77d8fcd3,1,True
ibkd_lambda_0.25,ibkd,0.25,20,2,5,0.03,66,0.7894986055629011,0.7724278033511175,0.7939332320424284,0.7771333902055734,0.6313271749592904,0.9229396054518564,0.7740043623990326,0.9319230825960001,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed2/student_best_validation.pt,b897485b7d4162622f5fa4dc9a83c41d16120a1d939a92aa9a9d08f7ea843500,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed2/probe_seed5_best_validation.pt,d8266d05f2e76a1324570a7e15341f15bdac78d577c825079939d8777db94e0f,1,True
ibkd_lambda_0.25,ibkd,0.25,20,3,1,0.1,79,0.7868733829891008,0.771139292585314,0.7913388466558549,0.7761571778868139,0.6315702705033385,0.9207440852702894,0.7741870294173716,0.9302240063887783,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,ea8f7433183f1bd98b6c102d3c6b4ac5346766f717963694787727cf3f727d18,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed3/probe_seed1_best_validation.pt,24eae40eff6925fc1b79c29856ffba5a87111321db747cabe5d016b8688dd651,1,True
ibkd_lambda_0.25,ibkd,0.25,20,3,2,0.1,80,0.7876107926592966,0.7710027211170463,0.7909922004126104,0.7746877014224098,0.6276516855892925,0.921723717255527,0.7712358745379245,0.9308481022878171,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,ea8f7433183f1bd98b6c102d3c6b4ac5346766f717963694787727cf3f727d18,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed3/probe_seed2_best_validation.pt,784a622e4e840606acd386fa9862fca0e38faf37e0d97d23760829bd897bdb37,1,True
ibkd_lambda_0.25,ibkd,0.25,20,3,3,0.03,81,0.7863660190326736,0.7696777909085922,0.7915446325695805,0.7747327863505427,0.6273153877801351,0.9221501849209502,0.7709819405516382,0.9311696731543627,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,ea8f7433183f1bd98b6c102d3c6b4ac5346766f717963694787727cf3f727d18,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed3/probe_seed3_best_validation.pt,bfae62de584a28288d896bbf643e0e8dd6beca6583a68e980921bc43d788a8e3,1,True
ibkd_lambda_0.25,ibkd,0.25,20,3,4,0.03,60,0.7865735149858826,0.7688301711996238,0.7907865624265329,0.7741894659015944,0.6268445610900504,0.9215343707131385,0.7706262492220396,0.9306724589025505,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,ea8f7433183f1bd98b6c102d3c6b4ac5346766f717963694787727cf3f727d18,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed3/probe_seed4_best_validation.pt,7422ce0660d73dfed6009b557158dab0d52d4ce50d580ea870efe1a0039631d0,1,True
ibkd_lambda_0.25,ibkd,0.25,20,3,5,0.1,84,0.7873268251121608,0.7700056905018031,0.7926103650479261,0.7751636051434816,0.6283224580257084,0.9220047522612548,0.7717420525999873,0.9310905522811688,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,ea8f7433183f1bd98b6c102d3c6b4ac5346766f717963694787727cf3f727d18,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed3/probe_seed5_best_validation.pt,596f02347a26a083ac32f937f0d11065d7d2ec77b6c6f1997052fc2d0a213a03,1,True
